Name,Type,Problem,fixed YES/NO,,,,,,,,,,
condor A8,CELL,lcd,YES,,,,,,,,,,
iris i350,CELL,lcd,YES,,,,,,,,,,
samsung j5 pro,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung M01,PAD,lcd,YES,,,,,,,,,,
cidea ,PAD,lock,YES,,,,,,,,,,
lg k10-2017,SMARTPHONE,frp,YES,,,,,,,,,,
lg xpower,SMARTPHONE,lock,YES,,,,,,,,,,
condor f1 mini,CELL,mic,YES,,,,,,,,,,
samsung j1 2016,SMARTPHONE,lcd,YES,,,,,,,,,,
stream b2s,SMARTPHONE,charge,YES,,,,,,,,,,
nokia 106,CELL,lcd,YES,,,,,,,,,,
condor A8,SMARTPHONE,off,NO,,,,,,,,,,
samsung A11,SMARTPHONE,lcd,YES,,,,,,,,,,
lg k7,SMARTPHONE,lcd,NO,,,,,,,,,,
starlight m08,CELL,charge,YES,,,,,,,,,,
samsung p5100,PAD,battery,YES,,,,,,,,,,
samsung G532,SMARTPHONE,charge,YES,,,,,,,,,,
condor g6,SMARTPHONE,flash,YES,,,,,,,,,,
samsung s6,SMARTPHONE,flash,YES,,,,,,,,,,
starlight m08,CELL,charge,YES,,,,,,,,,,
samsung e1287t,CELL,mic,YES,,,,,,,,,,
condor m3 lite,SMARTPHONE,lcd,YES,,,,,,,,,,
raylan china,CELL,mic,YES,,,,,,,,,,
condor 718,PAD,flash,YES,,,,,,,,,,
starlight cnote,SMARTPHONE,touch,YES,,,,,,,,,,
oppo a5s ,SMARTPHONE,lcd,YES,,,,,,,,,,
nokia 106,CELL,lcd,YES,,,,,,,,,,
oppo a37,SMARTPHONE,lcd,YES,,,,,,,,,,
nokia 1280,CELL,mic,YES,,,,,,,,,,
wise-tech,CELL,lcd,YES,,,,,,,,,,
iris g7050,PAD,off,NO,,,,,,,,,,
starlight cnote,SMARTPHONE,lock,YES,,,,,,,,,,
stream b3 max,SMARTPHONE,frp,YES,,,,,,,,,,
lenovo a319,SMARTPHONE,flash,YES,,,,,,,,,,
doogee x11,SMARTPHONE,off,YES,,,,,,,,,,
samsung j330,SMARTPHONE,frp,YES,,,,,,,,,,
huawei y9s,SMARTPHONE,lcd,YES,,,,,,,,,,
